TestInput,FileName,Variables,Degree,Runtime (s),Result
1,elephant,1var,2deg,0.03545784950256348,"[['x', 2]]"
2,rabbit,1var,2deg,0.003862619400024414,"[['x', -1]]"
3,theater,1var,2deg,0.02011871337890625,[['UNSAT']]
4,cat,1var,2deg,0.01177978515625,[['UNSAT']]
5,house,1var,2deg,0.0030426979064941406,[['UNSAT']]
6,dog,1var,2deg,0.0036559104919433594,"[['x', -3]]"
7,engima,1var,2deg,0.008493661880493164,"[['x', 7]]"
8,squirrel,1var,2deg,0.009997367858886719,[['UNSAT']]
9,nostalgia,1var,3deg,0.004523515701293945,"[['x', -1]]"
10,rose,1var,3deg,0.005496501922607422,[['UNSAT']]
11,terminate,1var,3deg,0.002165079116821289,[['UNSAT']]
12,home,1var,3deg,0.003124713897705078,"[['x', 1]]"
13,heart,1var,3deg,0.005461454391479492,"[['x', -2]]"
14,clown,1var,3deg,0.0918724536895752,[['UNSAT']]
15,plate,1var,3deg,0.028957366943359375,[['UNSAT']]
16,truck,2var,2deg,0.008147478103637695,"[['x', 3], ['y', -3]]"
17,machine,2var,2deg,0.04213237762451172,[['UNSAT']]
18,small,2var,2deg,0.020662307739257812,"[['x', 1], ['y', -2]]"
19,unusual,2var,2deg,0.31395673751831055,[['UNKNOWN (ERROR)']]
20,faint,2var,2deg,0.35369420051574707,[['UNKNOWN (ERROR)']]
21,touch,2var,3deg,0.30040717124938965,[['UNKNOWN (ERROR)']]
22,oblong,2var,3deg,0.029778003692626953,"[['x', -3], ['y', -3]]"
23,email,2var,3deg,0.003896951675415039,"[['x', 1], ['y', -2]]"
24,moon,2var,3deg,0.023682832717895508,[['UNSAT']]
25,forget,2var,3deg,0.1792774200439453,[['UNKNOWN (ERROR)']]
26,waste,2var,3deg,0.03094005584716797,[['UNSAT']]
27,inertia,2var,3deg,0.23207736015319824,[['UNKNOWN (ERROR)']]
28,doctor,3var,2deg,-0.38171982765197754,[['UNSAT']]
29,beast,3var,2deg,0.02501058578491211,"[['x', 2], ['y', -4], ['z', 5]]"
30,vampire,3var,2deg,0.02456355094909668,"[['x', 2], ['y', -4], ['z', 2]]"
31,train,3var,2deg,0.13244867324829102,"[['x', 7], ['y', 19], ['z', 11]]"
32,tank,3var,3deg,0.013614177703857422,"[['x', 0], ['y', 2], ['z', 0]]"
33,motor,3var,3deg,0.0027532577514648438,[['UNSAT']]
34,titanium,3var,3deg,0.8403358459472656,[['UNKNOWN (ERROR)']]
35,bar,3var,3deg,0.8751420974731445,[['UNKNOWN (ERROR)']]
36,western,3var,3deg,0.9115324020385742,[['UNKNOWN (ERROR)']]
37,professor,3var,3deg,0.11242270469665527,"[['x', 4], ['y', 6], ['z', 7]]"
38,robot,3var,3deg,0.038381099700927734,"[['x', 4], ['y', -4], ['z', 1]]"
Totals: 38,n/a,4.371147155761719s,"17 SAT, 13 UNSAT, 8 UNKNOWN"
