TestInput,FileName,Variables,Degree,Runtime (s),Result
1,elephant,1var,2deg,0.004347801208496094,"[['x', 2]]"
2,rabbit,1var,2deg,0.0028908252716064453,"[['x', -1]]"
3,theater,1var,2deg,0.00540924072265625,[['UNSAT']]
4,cat,1var,2deg,0.005480289459228516,[['UNSAT']]
5,house,1var,2deg,0.0014882087707519531,[['UNSAT']]
6,dog,1var,2deg,0.0030715465545654297,"[['x', -4]]"
7,engima,1var,2deg,0.005871772766113281,"[['x', 7]]"
8,squirrel,1var,2deg,0.005220890045166016,[['UNSAT']]
9,nostalgia,1var,3deg,0.004230499267578125,"[['x', -1]]"
10,rose,1var,3deg,0.005301237106323242,[['UNSAT']]
11,terminate,1var,3deg,0.001422882080078125,[['UNSAT']]
12,home,1var,3deg,0.0033087730407714844,"[['x', 4]]"
13,heart,1var,3deg,0.002633810043334961,"[['x', -2]]"
14,clown,1var,3deg,0.007456064224243164,[['UNSAT']]
15,plate,1var,3deg,0.011218070983886719,[['UNSAT']]
16,truck,2var,2deg,0.005448341369628906,"[['x', -2], ['y', -4]]"
17,machine,2var,2deg,0.018671035766601562,"[['x', 13], ['y', 7]]"
18,small,2var,2deg,0.015492677688598633,"[['x', 6], ['y', 3]]"
19,unusual,2var,2deg,0.07401394844055176,[['UNKNOWN (ERROR)']]
20,faint,2var,2deg,0.07448124885559082,[['UNKNOWN (ERROR)']]
21,touch,2var,3deg,0.022394180297851562,[['UNSAT']]
22,oblong,2var,3deg,0.0025200843811035156,"[['x', 0], ['y', 0]]"
23,email,2var,3deg,0.002669811248779297,"[['x', 0], ['y', 0]]"
24,moon,2var,3deg,0.025760889053344727,[['UNSAT']]
25,forget,2var,3deg,0.09196925163269043,[['UNKNOWN (ERROR)']]
26,waste,2var,3deg,0.0032548904418945312,[['UNSAT']]
27,inertia,2var,3deg,0.07683682441711426,[['UNKNOWN (ERROR)']]
28,doctor,3var,2deg,0.05315256118774414,[['UNSAT']]
29,beast,3var,2deg,0.024178266525268555,"[['x', 2], ['y', -4], ['z', 5]]"
30,vampire,3var,2deg,0.02492809295654297,"[['x', 2], ['y', -4], ['z', 2]]"
31,train,3var,2deg,0.43364858627319336,[['UNKNOWN (ERROR)']]
32,tank,3var,3deg,0.006421566009521484,"[['x', 0], ['y', 2], ['z', 0]]"
33,motor,3var,3deg,0.001373291015625,[['UNSAT']]
34,titanium,3var,3deg,0.3603241443634033,[['UNKNOWN (ERROR)']]
35,bar,3var,3deg,0.4285593032836914,[['UNKNOWN (ERROR)']]
36,western,3var,3deg,0.3923194408416748,[['UNKNOWN (ERROR)']]
37,professor,3var,3deg,0.055518388748168945,"[['x', 4], ['y', 6], ['z', 7]]"
38,robot,3var,3deg,0.036187171936035156,"[['x', 4], ['y', -4], ['z', 1]]"
Totals: 38,n/a,2.299475908279419s,"17 SAT, 13 UNSAT, 8 UNKNOWN"
