TestInput,FileName,Variables,Degree,Runtime (s),Result
1,elephant,1var,2deg,0.025641679763793945,"[['x', 6]]"
2,rabbit,1var,2deg,0.0014793872833251953,"[['x', 5]]"
3,theater,1var,2deg,0.002259492874145508,[['UNSAT']]
4,cat,1var,2deg,0.002182483673095703,[['UNSAT']]
5,house,1var,2deg,0.0010797977447509766,[['UNSAT']]
6,dog,1var,2deg,0.0011932849884033203,"[['x', -3]]"
7,engima,1var,2deg,0.0007557868957519531,"[['x', 7]]"
8,squirrel,1var,2deg,0.0008623600006103516,[['UNSAT']]
9,nostalgia,1var,3deg,0.0010745525360107422,"[['x', 9]]"
10,rose,1var,3deg,0.0007903575897216797,[['UNSAT']]
11,terminate,1var,3deg,0.0004246234893798828,[['UNSAT']]
12,home,1var,3deg,0.001134634017944336,"[['x', -3]]"
13,heart,1var,3deg,0.0011181831359863281,"[['x', 7]]"
14,clown,1var,3deg,0.0008449554443359375,[['UNSAT']]
15,plate,1var,3deg,0.008125543594360352,[['UNSAT']]
16,truck,2var,2deg,0.003946065902709961,"[['x', -4], ['y', 6]]"
17,machine,2var,2deg,0.0012593269348144531,"[['y', 7], ['x', 13]]"
18,small,2var,2deg,0.0023496150970458984,"[['x', 13], ['y', -4]]"
19,unusual,2var,2deg,0.0012090206146240234,[['UNSAT']]
20,faint,2var,2deg,0.001817464828491211,[['UNSAT']]
21,touch,2var,3deg,10.000811338424683,[['UNKNOWN (TIMEOUT)']]
22,oblong,2var,3deg,0.0012466907501220703,"[['x', 0], ['y', 0]]"
23,email,2var,3deg,0.0009105205535888672,"[['x', 0], ['y', 0]]"
24,moon,2var,3deg,0.0005240440368652344,[['UNSAT']]
25,forget,2var,3deg,10.000946760177612,[['UNKNOWN (TIMEOUT)']]
26,waste,2var,3deg,0.0009312629699707031,[['UNSAT']]
27,inertia,2var,3deg,10.0009286403656,[['UNKNOWN (TIMEOUT)']]
28,doctor,3var,2deg,0.001085519790649414,[['UNSAT']]
29,beast,3var,2deg,0.0007808208465576172,"[['z', 0], ['x', 3], ['y', -6]]"
30,vampire,3var,2deg,0.0007700920104980469,"[['z', -6], ['x', 0], ['y', 0]]"
31,train,3var,2deg,0.001168966293334961,"[['x', -7], ['z', 11], ['y', 19]]"
32,tank,3var,3deg,0.0007925033569335938,"[['z', 0], ['x', -7], ['y', 9]]"
33,motor,3var,3deg,0.0010972023010253906,[['UNSAT']]
34,titanium,3var,3deg,10.000877618789673,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,10.001014947891235,[['UNKNOWN (TIMEOUT)']]
36,western,3var,3deg,10.001628875732422,[['UNKNOWN (TIMEOUT)']]
37,professor,3var,3deg,0.0015249252319335938,"[['x', 4], ['z', 7], ['y', 6]]"
38,robot,3var,3deg,0.001129150390625,"[['z', 0], ['x', 4], ['y', -5]]"
Totals: 38,n/a,60.07771849632263s,"18 SAT, 14 UNSAT, 6 UNKNOWN"
