TestInput,FileName,Variables,Degree,Runtime (s),Result
1,elephant,1var,2deg,0.005028247833251953,"[['x', 2]]"
2,rabbit,1var,2deg,0.0009913444519042969,"[['x', (- 1)]]"
3,theater,1var,2deg,0.0008509159088134766,[['UNSAT']]
4,cat,1var,2deg,0.003600597381591797,[['UNSAT']]
5,house,1var,2deg,0.0025467872619628906,[['UNSAT']]
6,dog,1var,2deg,0.0013422966003417969,"[['x', (- 3)]]"
7,engima,1var,2deg,0.0006999969482421875,"[['x', 7]]"
8,squirrel,1var,2deg,0.0016086101531982422,[['UNSAT']]
9,nostalgia,1var,3deg,0.0014979839324951172,"[['x', (- 1)]]"
10,rose,1var,3deg,10.246829748153687,[['UNKNOWN (TIMEOUT)']]
11,terminate,1var,3deg,0.7419881820678711,[['UNSAT']]
12,home,1var,3deg,0.00173187255859375,"[['x', 1]]"
13,heart,1var,3deg,0.001651763916015625,"[['x', (- 2)]]"
14,clown,1var,3deg,10.046715021133423,[['UNKNOWN (TIMEOUT)']]
15,plate,1var,3deg,10.227034330368042,[['UNKNOWN (TIMEOUT)']]
16,truck,2var,2deg,0.9760568141937256,"[['x', 1], ['y', 7]]"
17,machine,2var,2deg,0.0026667118072509766,"[['x', 13], ['y', 7]]"
18,small,2var,2deg,0.009869575500488281,"[['x', 1], ['y', (- 4)]]"
19,unusual,2var,2deg,0.0816652774810791,[['UNSAT']]
20,faint,2var,2deg,0.049356698989868164,[['UNSAT']]
21,touch,2var,3deg,0.038739681243896484,[['UNSAT']]
22,oblong,2var,3deg,0.00498652458190918,"[['x', 0], ['y', 0]]"
23,email,2var,3deg,0.0009005069732666016,"[['x', 0], ['y', 0]]"
24,moon,2var,3deg,0.0007326602935791016,[['UNSAT']]
25,forget,2var,3deg,10.015302896499634,[['UNKNOWN (TIMEOUT)']]
26,waste,2var,3deg,0.1504204273223877,[['UNSAT']]
27,inertia,2var,3deg,10.008073091506958,[['UNKNOWN (TIMEOUT)']]
28,doctor,3var,2deg,0.18915033340454102,[['UNSAT']]
29,beast,3var,2deg,0.001997709274291992,"[['x', 8], ['y', (- 1)], ['z', 50]]"
30,vampire,3var,2deg,0.0013823509216308594,"[['x', 1], ['y', 0], ['z', 6]]"
31,train,3var,2deg,10.12415862083435,[['UNKNOWN (TIMEOUT)']]
32,tank,3var,3deg,0.828681468963623,"[['x', 3], ['y', (- 1)], ['z', 0]]"
33,motor,3var,3deg,10.04626750946045,[['UNKNOWN (TIMEOUT)']]
34,titanium,3var,3deg,10.490528345108032,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,11.112937927246094,[['UNKNOWN (TIMEOUT)']]
36,western,3var,3deg,11.020593643188477,[['UNKNOWN (TIMEOUT)']]
37,professor,3var,3deg,0.9826033115386963,"[['x', 4], ['y', 6], ['z', 7]]"
38,robot,3var,3deg,0.003187417984008789,"[['x', (- 1)], ['y', (- 1)], ['z', (- 61)]]"
Totals: 38,n/a,107.42437720298767s,"17 SAT, 11 UNSAT, 10 UNKNOWN"
